CODIGO;CODBARRA1;CODBARRA2;CODBARRA3;CODAUXILI1;CODAUXILI2;DESCRICAO;DESCREDUZI;DESCDETA1;DESCDETA2;DESCDETA3;DESCDETA4;LOCALIZA;SUBGRUPO;GRUPO;DEPARTAMEN;MARCA;PRECOVENDA;MARGEM;ESTOQUE;ESTOQUEMIN;ESTOQUEIDE;ESTOQUEPEN;UNIDADE;PESO;SITUACAO;TIPO;DATAALT;AGRUPAMENT;FRACIONADO;CUSTOMEDIO;PERCOMIS;NAOCOMIS;FATORCONV;CST;ORIGEM;NCM;ICMSIN;ICMSINREV;ICMSININD;ICMSINPER1;ICMSINPER2;ICMS;ICMSCN;ICMSCR;ICMSINDU;ICMSPER1;ICMSPER2;PISCOF;ALIPI;CREDICMS;PPB;FABPROPRI;RECSTANT;GRADEPRINC;GRADE1;GRADE2
2;24;;;;;ADAPTADOR TOMADA BIPOLAR/TRIPOLAR;ADAPTADOR BIPOLAR;;;;;;93;1;1;0;2;50;1;10;0;0;;0;A;N;;0;;1,014;0;;;41;0;85369090;1;1;1;0;0;1;1;1;1;0;0;1;0;0,122;0;;;0;0;0
3;31;;;;;ADAPTADOR DB25 F X DB25 F;ADAPTADOR DB25 F X DB2;;;;;;93;1;0;0;3;100;0;0;0;0;;0;A;N;;0;;1,18;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,142;0;;;0;0;0
4;10000045;;;;;ADAPTADOR DB25 M X DB25 M;ADAPTADOR DB25 M X DB25 M;;;;;;93;1;1;0;3;159;1;0;0;0;;0;A;N;;0;;1,16;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,139;0;;;0;0;0
5;10000052;;;;;ADAPTADOR DB9 F X DB9 F;ADAPTADOR DB9 F X DB9 F;;;;;;93;1;0;0;3;384;1;0;0;0;;0;A;N;;0;;0,62;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,074;0;;;0;0;0
6;10000069;;;;;ADAPTADOR DB9 M X DB25 F;ADAPTADOR DB9 M X DB25 F;;;;;;93;1;0;0;5;50;9;0;0;0;;0;A;N;;0;;1,334;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,16;0;;;0;0;0
7;10000076;;;;;ADAPTADOR DB9 M X DB9 M;ADAPTADOR DB9 M X DB9 M;;;;;;93;1;0;0;3;384;7;0;0;0;;0;A;N;;0;;0,62;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,074;0;;;0;0;0
11;116;4,89503E+12;;;;PILHA CR2032 BATERIA P/ PLACA MAE (UNIDADE);PILHA BATERIA PARA PLACA;;;;;;8;1;1;0;3;100;-3;10;0;0;;0;A;N;20140715;0;;0,65;0;;;;0;85065010;2;2;2;0;0;6;6;6;6;0;0;1;0;0,01;0;;;0;0;0
12;123;;;;;CABO FORCA P/ MICRO 3 PINOS PADRAO AMERICANO;CABO FORCA 3 PINOS;;;;;;7;1;1;0;5;40;12;0;0;0;;0;A;N;20150601;0;;2,667;0;;;;0;85444200;2;2;2;0;0;6;6;6;6;0;0;1;0;0,1;0;;;0;0;0
14;147;;;;;CABO REDE FURUKAWA SOHO PLUS (METRO);CABO REDE FURUKAWA;;;;;;7;1;1;0;1,5;35;84;0;0;400;;0;A;N;20150514;0;;0,855;0;;;41;0;85444900;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
15;154;;;;;CABO REDE NEXANS CAT 5E AZUL (METRO);CABO REDE NEXANS;;;;;;7;1;1;0;1;40;0;350;0;0;;0;A;N;20120314;0;;0,584;0;;;41;0;85444900;1;1;1;0;0;1;1;1;1;0;0;1;0;0,011;0;;;0;0;0
16;161;;;;;CABO TELEFONE 2M LISO PRETO 2 VIAS RJ11;FIO TELEFONE;;;;;;7;1;1;0;5;200;7;2;0;0;;0;A;N;20140819;0;;0,87;0;;;;0;85444200;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
18;185;;;;;CABO TELEFONE 10M LISO;FIO TELEFONE PRET;;;;;;7;1;1;0;7;80;0;0;0;0;;0;A;N;;0;;1,891;0;;;41;0;85444200;1;1;1;0;0;1;1;1;1;0;0;1;0;0,227;0;;;0;0;0
19;192;;;;;CABO TELEFONE  5M LISO;FIO TELEFONE PRETO;;;;;;7;1;0;0;4;100;0;0;0;0;;0;A;N;;0;;1,521;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,183;0;;;0;0;0
21;17;;;;;CABO EXTENSOR MONITOR 1.8M;CABO EXTENSOR MONITOR;;;;;;7;1;1;0;15;100;1;2;0;0;;0;A;N;20131111;0;S;6,723;0;;;;0;85444200;2;2;2;0;0;6;6;6;6;0;0;1;0;0;0;;;0;0;0
22;222;;;;;CABO EXTENSOR TECLADO AT CLONE 5009;CABO EXTENSOR TECLADO;;;;;;7;1;1;0;7;100;20;0;0;0;;0;A;N;20120920;0;;3,367;0;;;;;;1;1;1;0;0;1;1;1;1;0;0;1;0;0,404;0;;;0;0;0
